gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
620997285																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3226							Male	immature								Skin - 1; Frozen Tissue - 1								WILL-TV tower B-1323											2006-10-05				2006	10	5											Piatt, Illinois, United States of America	North America				United States of America		Illinois	Piatt		Monticello																																																																				Setophaga coronata							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				coronata										
620997284																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3225							Male	adult								Skin - 1; Frozen Tissue - 1								WILL-TV Tower B-1324											2006-10-05				2006	10	5											Piatt, Illinois, United States of America	North America				United States of America		Illinois	Piatt		Monticello																																																																				Setophaga coronata							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				coronata										
620997283																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3224							Male	immature								Stomach Contents - 1; Skin - 1; Frozen Tissue - 1								B-1280											2010-10-06				2010	10	6											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Setophaga coronata							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				coronata										
620997282																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3223							Male	immature								Frozen Tissue - 1; Skin - 1								B-1289											2010-10-22				2010	10	22											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Setophaga coronata							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				coronata										
620997281																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3222							Female	immature								Skin - 1; Frozen Tissue - 1; Stomach Contents - 1								ISU Campus B-1272											2010-09-27				2010	9	27											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis ruficapilla							Oreothlypis ruficapilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				ruficapilla										
620997280																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3221							Male	immature								Stomach Contents - 1; Frozen Tissue - 1; Skin - 1								ISU Campus B-1287											2010-09-27				2010	9	27											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis ruficapilla							Oreothlypis ruficapilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				ruficapilla										
620997279																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3220							Male	immature								Frozen Tissue - 1; Skin - 1; Stomach Contents - 1								ISU Campus B-1285											2010-09-15				2010	9	15											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis ruficapilla							Oreothlypis ruficapilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				ruficapilla										
620997278																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3219							Male	adult								Skin - 1; Stomach Contents - 1; Frozen Tissue - 1								B-1228											2009-04-24				2009	4	24											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Hudson													40.6058300000	-88.9872200000						40.6058300° N	88.9872200° W																																															Parula americana							Parula americana	Animalia	Chordata	Aves	Passeriformes	Parulidae		Parula				americana										
620997277																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3218							Female	immature								Skin - 1; Frozen Tissue - 1								ISU Campus B-1229											2009-09-26				2009	9	26											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Parula americana							Parula americana	Animalia	Chordata	Aves	Passeriformes	Parulidae		Parula				americana										
620997276																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3217							Male	immature								Frozen Tissue - 1; Skin - 1; Stomach Contents - 1								ISU Campus B-1269											2010-10-01				2010	10	1											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Regulus satrapa							Regulus satrapa	Animalia	Chordata	Aves	Passeriformes	Regulidae		Regulus				satrapa										
